query,pos,query_en,pos_en
Mỗi hiệp bóng đá kéo dài bao lâu,"Một trận đấu bóng đá thông thường có hai hiệp , mỗi hiệp 45 phút với khoảng thời gian 15 phút nghỉ giữa hai hiệp .",How long each football half lasts,A regular football match consists of two 45-minute halves with a 15-minute break between the halves.
Mỗi hiệp bóng đá kéo dài bao lâu,"Một trận thi đấu bóng đá thông thường diễn ra trong hai hiệp chính thức liên tiếp , mỗi hiệp gồm 45 phút ngăn cách bằng 15 phút nghỉ giữa giờ . Sau khi hiệp 1 , hai đội bóng sẽ phải đổi sân cho nhau để có sự công bằng trong vòng 1 phút .",How long each football half lasts,"A regular football match takes place in two consecutive official halves, each containing 45 minutes separated by 15 minutes of halftime. After the first half, the two teams will have to switch fields for equality within 1 minute."
Ngọc Lan là ai,"Ngọc Lan ( 28 tháng 12 năm 1956 - 6 tháng 3 2001 ) là một ca sĩ hải ngoại nổi tiếng . Không chỉ với giọng hát , cô còn được khán giả đặc biệt yêu mến vì khuôn mặt khả ái và tính cách nhút nhát , khiêm tốn của mình .",Who is Ngoc Lan,"Ngoc Lan (December 28, 1956 – March 6, 2001) was a famous overseas singer. Not only with her voice, she was also loved by the audience especially for her sweet face and shy, modest personality."
Tên chính thức của Na Uy là gì,"Na Uy ( Bokmål : "" Norge "" ; Nynorsk : "" Noreg "" ) , tên chính thức là Vương quốc Na Uy ( Bokmål : "" Kongeriket Norge "" ; Nynorsk : "" Kongeriket Noreg "" ) , là một quốc gia theo thể chế quân chủ lập hiến tại Bắc Âu chiếm phần phía tây Bán đảo Scandinavie . Nước này giáp biên giới với Thuỵ Điển , Phần Lan , và Nga . Khoảng cách từ các phần phía bắc và phía nam Na Uy lớn hơn rất nhiều so với khoảng cách từ đông sang tây .",What is the official name of Norway,Norway (Norwegian: Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian Norwegian
Xuân Quỳnh sinh năm bao nhiêu,"Bà tên thật là Nguyễn Thị Xuân Quỳnh , sinh ngày 6 tháng 10 năm 1942 tại làng La Khê , xã Văn Khê , thị xã Hà Đông , tỉnh Hà Tây ( nay là quận Hà Đông , Hà Nội ) . Xuất thân trong một gia đình công chức , mẹ mất sớm , bố thường xuyên công tác xa gia đình , bà được bà nội nuôi dạy từ nhỏ đến khi trưởng thành .",How old was Xuan Quynh?,"Her real name is Nguyen Thi Xuan Quynh, born on October 6, 1942 in La Khe village, Van Khe commune, Ha Dong town, Ha Tay province (now Ha Dong district, Hanoi). Originally from a civil servant family, her mother died early, her father often worked away from the family, she was raised by her grandmother from childhood to adulthood."
Kim loại là gì,"Trong hoá học , kim loại ( tiếng Hy Lạp là "" metallon "" ) là nguyên tố có thể tạo ra các ion dương ( cation ) và có các liên kết kim loại , và đôi khi người ta cho rằng nó tương tự như là cation trong đám mây các điện tử .",What is Metal,"In chemistry, metals (from Greek metallon) are elements that can form positive ions (cations) and have metal bonds, and are sometimes thought to be similar to cations in the cloud of electrons."
Bangladesh nằm ở khu vực nào,"Bangladesh ( , ,   "" Đất nước Bengal "" , phiên âm tiếng Việt : Băng-la-đét ) , tên chính thức : Cộng hoà Nhân dân Bangladesh ( tiếng Bengal : গণপ্রজাতন্ত্রী বাংলাদেশ ) , là một quốc gia ở vùng Nam Á. Địa giới Bangladesh giáp Ấn Độ ở phía tây , bắc , và đông nên gần như bị bao vây trừ một đoạn biên giới giáp với Myanma ở phía cực đông nam và Vịnh Bengal ở phía nam .",What region is Bangladesh located in,"Bangladesh, officially the People's Republic of Bangladesh, is a country in South Asia. It borders India to the west, north, and east and is almost completely encircled except for a border crossing with Myanmar to the extreme southeast and the Bay of Bengal to the south."
Ibrahimović  bắt đầu sự nghiệp bóng đá tại đâu,Ibrahimović bắt đầu sự nghiệp cầu thủ bóng đá tại CLB Malmö FF cuối những năm 1990 trước khi được Ajax - nơi đầu tiên làm nên tên tuổi của anh - ký hợp đồng . Anh sau đó đầu quân cho Juventus FC và cùng với David Trezeguet tạo nên một cặp tiền đạo khét tiếng .,Where did Ibrahimović start his football career?,"Ibrahimović began his career as a footballer at Malmö FF in the late 1990s before being signed by Ajax, the first team to make his name, and went on to play for Juventus F.C. and together with David Trezeguet formed the infamous striker pair."
Nguồn gốc của thế vận hội Olympic,"Hy Lạp cũng là nơi ra đời Thế vận hội ( Olympic ) đầu tiên vào năm 776 trước Công nguyên và được tổ chức 4 năm một lần , khởi nguồn của Thế vận hội Olympic hiện đại ngày nay .",Origins of the Olympic Games,"Greece was also the birthplace of the first Olympic Games in 776 BC, which were held every four years, giving rise to the modern Olympic Games."
Bangladesh có diện tích đứng thứ mấy thế giới,"Dân số Bangladesh xếp hạng thứ bảy trên thế giới, nhưng với diện tích chỉ gần 144.000 km2 nó đứng hàng thứ 94, biến nước này trở thành một trong những nước có mật độ dân số cao nhất thế giới.",Bangladesh has the world's largest land area,"Bangladesh's population ranks seventh in the world, but with an area of only nearly 144,000 km2 it ranks 94th, making it one of the most densely populated countries in the world."
Bảng Anh là gì,"Bảng Anh ( ký hiệu £ , mã ISO : GBP ) tức Anh kim là đơn vị tiền tệ chính thức của Vương quốc Anh và các lãnh thổ hải ngoại , thuộc địa .",What is pound sterling,"The pound sterling (symbol £, ISO code: GBP) is the official currency of the United Kingdom and its overseas territories."
Tôn Trung Sơn là ai,"Tôn Trung Sơn, nguyên danh là Tôn Văn, tự Tải Chi, hiệu Nhật Tân, Dật Tiên là nhà cách mạng Trung Quốc, người đóng vai trò quan trọng trong cuộc Cách mạng Tân Hợi năm 1911 lật đổ triều đại Mãn Thanh và khai sinh ra Trung Hoa Dân Quốc.",Who is Sun Yat-sen,"Sun Yat-sen, also known as Sun Wen, was a Chinese revolutionary who played an important role in the 1911 Xinhai Revolution that overthrew the Manchu Qing dynasty and gave birth to the Republic of China."
Bức tranh Mona Lisa hiện đang được trưng bày ở đâu,"Bức hoạ Mona Lisa hiện được treo tại Bảo tàng Louvre ở Paris , Pháp . Danh tiếng ngày càng tăng của bức hoạ còn lớn thêm khi nó bị ăn trộm ngày 21 tháng 8 năm 1911 . Ngày hôm sau , Louis Béroud , một hoạ sĩ , đi vào Louvre và vào Salon Carré nơi bức tranh "" Mona Lisa "" đã được trưng bày trong năm năm .",Where is the Mona Lisa currently on display,"The Mona Lisa is now hanging at the Louvre Museum in Paris, France. The painting's growing fame was further enhanced when it was stolen on August 21, 1911. The next day, Louis Béroud, a painter, entered the Louvre and entered the Carré Salon where the painting ""Mona Lisa"" was on display for five years."
Sân bay bận rộn thứ hai trên thế giới là sân bay nào,"Sân bay này hiện đang là sân bay bận rộn thứ hai trên thế giới ( sau sân bay quốc tế Hartsfield-Jackson Atlanta ) và là sân bay bận rộn nhất châu Á. Sau khi được nâng cấp để phục vụ cho Thế vận hội Mùa hè 2008 , sân bay hiện có ba nhà ga , trong đó Nhà ga 3 là một trong số các nhà ga sân bay lớn nhất thế giới .",Which is the second busiest airport in the world,"The airport is currently the second busiest airport in the world (after Hartsfield-Jackson Atlanta International Airport) and the busiest airport in Asia. After being upgraded for the 2008 Summer Olympics, the airport currently has three terminals, of which Terminal 3 is one of the world's largest airport terminals."
Iran nằm ở khu vực nào,"Iran (tiếng Ba Tư: ایران‎ Irān [ʔiːˈɾɒːn] (nghe)), gọi chính thức là nước Cộng hòa Hồi giáo Iran (tiếng Ba Tư: جمهوری اسلامی ایران‎ Jomhuri-ye Eslāmi-ye Irān Về âm thanh nàyphát âm (trợ giúp·thông tin)),[14] là một quốc gia có chủ quyền tại Tây Á.[15][16] Iran có biên giới về phía tây bắc với Armenia, Azerbaijan, và Cộng hoà Artsakh tự xưng; phía bắc giáp biển Caspi; phía đông bắc giáp Turkmenistan; phía đông giáp Afghanistan và Pakistan; phía nam giáp vịnh Ba Tư và vịnh Oman; còn phía tây giáp Thổ Nhĩ Kỳ và Iraq (Khu vực Kurdistan)",What region is Iran located in,"Iran (Persian: ایران Irān [ʔiːˈɾɒːn] (listen)), officially the Islamic Republic of Iran (Persian: جمهوری اسلامی ایران Jomhuri - ye Eslāmi - ye Irān),[14] is a sovereign state in Western Asia.[15][16] Iran borders to the northwest with Armenia, Azerbaijan, and the self - proclaimed Artsakh Republic; to the north it borders the Caspian Sea; to the northeast it borders Turkmenistan; to the east it borders Afghanistan and Pakistan; to the south it borders the Persian Gulf and Gulf of Oman; and to the west it borders Turkey and Iraq (Kurdish Region)"
Tên thật của Hàm Nghi là gì,"Hàm Nghi ( chữ Hán : 咸宜 ; 3 tháng 8 năm 1871 – 14 tháng 1 năm 1944 ) , tên thật Nguyễn Phúc Ưng Lịch , là vị Hoàng đế thứ tám của nhà Nguyễn , triều đại phong kiến cuối cùng trong lịch sử Việt Nam .",What is Ham Nghi's real name,"Ham Nghi (Chinese: 咸宜; August 3, 1871 – January 14, 1944), real name Nguyễn Phúc Ưng Lịch, was the eighth emperor of the Nguyễn dynasty, the last feudal dynasty in the history of Vietnam."
Chèo là gì,Chèo là loại hình nghệ thuật sân khấu cổ truyền Việt Nam . Chèo phát triển mạnh ở phía bắc Việt Nam với trọng tâm là vùng châu thổ sông Hồng cùng hai khu vực lan toả là trung du miền núi Bắc Bộ và Bắc Trung Bộ .,What is Parasailing,"Chao is a form of traditional Vietnamese theatre. Chao thrives in the north of Vietnam with a focus on the Red River delta and two pervasive areas, the northern midland and mountainous regions and the northern central region."
Tự Đức mất năm nào,"Cuối cùng , tới năm 1883 , Tự Đức qua đời , ngay sau đó Pháp tấn công vào kinh đô và ép buộc nhà Nguyễn phải công nhận sự "" bảo hộ "" của Pháp trên toàn Đại Nam . Nhà Nguyễn sau thời Tự Đức chỉ còn là danh nghĩa , thực tế thì đã mất nước vào tay Pháp .",What year did Germany lose,"Finally, in 1883, Tu Duc died, soon after that the French attacked the capital and forced the Nguyen to recognize the "" protection "" of France throughout the South. The Nguyen after Tu Duc only remained nominal, in fact lost the country to the French."
